DATE,BAMLEMRECRPIEMEATRIV
1999-05-26,122.82
1999-05-27,122.11
1999-05-28,122.14
1999-05-31,122.31
1999-06-01,122.49
1999-06-02,122.37
1999-06-03,121.71
1999-06-04,122.0
1999-06-07,122.81
1999-06-08,122.99
1999-06-09,123.39
1999-06-10,124.22
1999-06-11,124.3
1999-06-14,124.55
1999-06-15,125.96
1999-06-16,126.49
1999-06-17,128.05
1999-06-18,128.67
1999-06-21,130.81
1999-06-22,130.94
1999-06-23,130.52
1999-06-24,130.41
1999-06-25,130.28
1999-06-28,129.67
1999-06-29,129.84
1999-06-30,130.07
1999-07-01,130.0
1999-07-02,130.24
1999-07-05,130.25
1999-07-06,130.45
1999-07-07,130.8
1999-07-08,130.9
1999-07-09,132.17
1999-07-12,132.48
1999-07-13,132.66
1999-07-14,132.95
1999-07-15,133.21
1999-07-16,133.71
1999-07-19,134.02
1999-07-20,133.85
1999-07-21,134.26
1999-07-22,133.77
1999-07-23,133.73
1999-07-26,133.65
1999-07-27,133.96
1999-07-28,133.55
1999-07-29,134.01
1999-07-30,134.06
1999-07-31,134.12
1999-08-02,133.78
1999-08-03,133.52
1999-08-04,133.27
1999-08-05,132.77
1999-08-06,132.73
1999-08-09,132.36
1999-08-10,131.99
1999-08-11,132.3
1999-08-12,132.09
1999-08-13,132.43
1999-08-16,133.35
1999-08-17,132.36
1999-08-18,133.14
1999-08-19,133.42
1999-08-20,133.38
1999-08-23,133.39
1999-08-24,133.41
1999-08-25,133.97
1999-08-26,134.37
1999-08-27,133.98
1999-08-30,133.78
1999-08-31,132.94
1999-09-01,133.02
1999-09-02,133.08
1999-09-03,133.24
1999-09-06,133.55
1999-09-07,132.89
1999-09-08,132.8
1999-09-09,132.11
1999-09-10,132.08
1999-09-13,132.29
1999-09-14,131.71
1999-09-15,131.07
1999-09-16,131.19
1999-09-17,131.04
1999-09-20,131.08
1999-09-21,131.15
1999-09-22,131.57
1999-09-23,131.81
1999-09-24,132.18
1999-09-27,132.31
1999-09-28,132.0
1999-09-29,132.05
1999-09-30,132.24
1999-10-01,132.03
1999-10-04,131.99
1999-10-05,132.32
1999-10-06,132.54
1999-10-07,132.59
1999-10-08,132.87
1999-10-11,132.92
1999-10-12,133.11
1999-10-13,133.02
1999-10-14,133.14
1999-10-15,132.95
1999-10-18,133.33
1999-10-19,134.03
1999-10-20,134.05
1999-10-21,135.01
1999-10-22,134.92
1999-10-25,134.99
1999-10-26,135.2
1999-10-27,136.01
1999-10-28,136.45
1999-10-29,136.96
1999-10-31,137.0
1999-11-01,136.85
1999-11-02,137.33
1999-11-03,138.01
1999-11-04,138.51
1999-11-05,138.95
1999-11-08,139.34
1999-11-09,139.4
1999-11-10,139.32
1999-11-11,139.58
1999-11-12,139.11
1999-11-15,139.41
1999-11-16,139.64
1999-11-17,139.29
1999-11-18,139.48
1999-11-19,140.29
1999-11-22,140.43
1999-11-23,140.77
1999-11-24,140.75
1999-11-25,140.76
1999-11-26,139.95
1999-11-29,139.76
1999-11-30,139.73
1999-12-01,139.66
1999-12-02,139.71
1999-12-03,140.06
1999-12-06,140.68
1999-12-07,140.9
1999-12-08,140.91
1999-12-09,140.82
1999-12-10,140.94
1999-12-13,141.13
1999-12-14,140.63
1999-12-15,140.66
1999-12-16,140.43
1999-12-17,140.33
1999-12-20,140.78
1999-12-21,140.77
1999-12-22,140.78
1999-12-23,140.64
1999-12-24,140.63
1999-12-27,140.77
1999-12-28,140.68
1999-12-29,140.78
1999-12-30,140.79
1999-12-31,140.81
2000-01-03,141.18
2000-01-04,141.59
2000-01-05,142.04
2000-01-06,141.98
2000-01-07,142.38
2000-01-10,142.57
2000-01-11,142.26
2000-01-12,142.22
2000-01-13,142.67
2000-01-14,143.0
2000-01-17,143.09
2000-01-18,143.2
2000-01-19,143.49
2000-01-20,143.82
2000-01-21,144.02
2000-01-24,144.42
2000-01-25,144.87
2000-01-26,144.9
2000-01-27,144.79
2000-01-28,144.96
2000-01-31,144.41
2000-02-01,144.23
2000-02-02,143.98
2000-02-03,144.64
2000-02-04,144.5
2000-02-07,144.72
2000-02-08,145.17
2000-02-09,145.41
2000-02-10,145.28
2000-02-11,145.3
2000-02-14,146.4
2000-02-15,146.86
2000-02-16,147.27
2000-02-17,147.66
2000-02-18,148.02
2000-02-21,148.19
2000-02-22,148.55
2000-02-23,148.64
2000-02-24,148.71
2000-02-25,148.65
2000-02-28,148.49
2000-02-29,148.44
2000-03-01,148.9
2000-03-02,148.9
2000-03-03,149.37
2000-03-06,149.38
2000-03-07,149.45
2000-03-08,149.43
2000-03-09,149.82
2000-03-10,149.98
2000-03-13,150.22
2000-03-14,150.31
2000-03-15,150.58
2000-03-16,150.79
2000-03-17,151.18
2000-03-20,151.57
2000-03-21,152.04
2000-03-22,152.25
2000-03-23,152.55
2000-03-24,152.28
2000-03-27,151.77
2000-03-28,151.91
2000-03-29,151.83
2000-03-30,152.01
2000-03-31,152.04
2000-04-03,152.1
2000-04-04,152.14
2000-04-05,151.72
2000-04-06,151.95
2000-04-07,152.29
2000-04-10,152.5
2000-04-11,152.49
2000-04-12,152.34
2000-04-13,152.18
2000-04-14,152.07
2000-04-17,151.9
2000-04-18,152.01
2000-04-19,152.09
2000-04-20,152.42
2000-04-24,152.58
2000-04-25,152.21
2000-04-26,152.35
2000-04-27,152.11
2000-04-28,151.88
2000-04-30,151.94
2000-05-01,151.91
2000-05-02,151.73
2000-05-03,151.38
2000-05-04,150.92
2000-05-05,150.57
2000-05-08,150.66
2000-05-09,150.59
2000-05-10,150.31
2000-05-11,150.27
2000-05-12,150.16
2000-05-15,150.14
2000-05-16,150.49
2000-05-17,150.52
2000-05-18,150.42
2000-05-19,150.37
2000-05-22,150.87
2000-05-23,150.7
2000-05-24,150.26
2000-05-25,150.58
2000-05-26,150.87
2000-05-29,150.88
2000-05-30,150.54
2000-05-31,151.09
2000-06-01,151.44
2000-06-02,152.27
2000-06-05,152.35
2000-06-06,152.13
2000-06-07,152.47
2000-06-08,152.4
2000-06-09,152.63
2000-06-12,152.9
2000-06-13,153.32
2000-06-14,153.36
2000-06-15,153.88
2000-06-16,154.19
2000-06-19,154.22
2000-06-20,154.28
2000-06-21,153.72
2000-06-22,153.91
2000-06-23,153.55
2000-06-26,153.74
2000-06-27,154.01
2000-06-28,154.01
2000-06-29,154.45
2000-06-30,154.54
2000-07-03,154.65
2000-07-04,154.84
2000-07-05,155.14
2000-07-06,154.91
2000-07-07,155.14
2000-07-10,155.13
2000-07-11,155.33
2000-07-12,155.36
2000-07-13,155.56
2000-07-14,155.82
2000-07-17,155.66
2000-07-18,155.75
2000-07-19,155.79
2000-07-20,156.16
2000-07-21,156.49
2000-07-24,156.62
2000-07-25,156.87
2000-07-26,157.21
2000-07-27,157.48
2000-07-28,157.52
2000-07-31,157.66
2000-08-01,157.81
2000-08-02,157.9
2000-08-03,157.94
2000-08-04,158.02
2000-08-07,158.31
2000-08-08,158.35
2000-08-09,158.56
2000-08-10,158.96
2000-08-11,159.26
2000-08-14,159.27
2000-08-15,159.2
2000-08-16,159.19
2000-08-17,159.25
2000-08-18,159.43
2000-08-21,159.45
2000-08-22,159.51
2000-08-23,159.71
2000-08-24,159.72
2000-08-25,159.81
2000-08-28,159.88
2000-08-29,159.72
2000-08-30,159.67
2000-08-31,159.82
2000-09-01,160.2
2000-09-04,160.39
2000-09-05,160.34
2000-09-06,160.37
2000-09-07,160.23
2000-09-08,160.16
2000-09-11,160.13
2000-09-12,160.01
2000-09-13,160.2
2000-09-14,160.4
2000-09-15,159.89
2000-09-18,159.41
2000-09-19,159.21
2000-09-20,159.28
2000-09-21,158.7
2000-09-22,158.82
2000-09-25,158.92
2000-09-26,158.84
2000-09-27,158.66
2000-09-28,158.42
2000-09-29,158.52
2000-09-30,158.55
2000-10-02,158.46
2000-10-03,157.9
2000-10-04,157.57
2000-10-05,157.63
2000-10-06,157.83
2000-10-09,157.97
2000-10-10,157.98
2000-10-11,157.87
2000-10-12,157.42
2000-10-13,157.16
2000-10-16,156.94
2000-10-17,156.91
2000-10-18,155.67
2000-10-19,155.57
2000-10-20,155.94
2000-10-23,156.27
2000-10-24,156.44
2000-10-25,156.41
2000-10-26,156.41
2000-10-27,156.59
2000-10-30,156.7
2000-10-31,156.8
2000-11-01,156.81
2000-11-02,156.96
2000-11-03,156.83
2000-11-06,156.76
2000-11-07,156.76
2000-11-08,156.87
2000-11-09,156.95
2000-11-10,157.11
2000-11-13,157.22
2000-11-14,157.05
2000-11-15,157.6
2000-11-16,157.76
2000-11-17,157.69
2000-11-20,157.42
2000-11-21,156.82
2000-11-22,156.77
2000-11-23,156.69
2000-11-24,156.46
2000-11-27,156.71
2000-11-28,156.44
2000-11-29,156.53
2000-11-30,155.23
2000-12-01,154.97
2000-12-04,154.75
2000-12-05,154.8
2000-12-06,155.81
2000-12-07,155.95
2000-12-08,156.13
2000-12-11,156.69
2000-12-12,156.68
2000-12-13,156.96
2000-12-14,157.43
2000-12-15,157.51
2000-12-18,158.19
2000-12-19,158.3
2000-12-20,158.84
2000-12-21,158.75
2000-12-22,159.14
2000-12-26,159.26
2000-12-27,159.23
2000-12-28,159.15
2000-12-29,159.42
2000-12-31,159.47
2001-01-02,159.92
2001-01-03,160.07
2001-01-04,160.39
2001-01-05,160.85
2001-01-08,161.39
2001-01-09,161.3
2001-01-10,162.19
2001-01-11,162.71
2001-01-12,162.57
2001-01-15,162.53
2001-01-16,162.32
2001-01-17,162.4
2001-01-18,162.74
2001-01-19,163.31
2001-01-22,163.54
2001-01-23,163.62
2001-01-24,163.76
2001-01-25,163.69
2001-01-26,164.02
2001-01-29,164.29
2001-01-30,164.49
2001-01-31,165.92
2001-02-01,166.56
2001-02-02,166.62
2001-02-05,166.69
2001-02-06,166.65
2001-02-07,166.38
2001-02-08,166.55
2001-02-09,166.71
2001-02-12,167.03
2001-02-13,167.18
2001-02-14,167.44
2001-02-15,167.19
2001-02-16,167.47
2001-02-19,167.35
2001-02-20,166.99
2001-02-21,165.79
2001-02-22,165.39
2001-02-23,165.21
2001-02-26,165.2
2001-02-27,165.81
2001-02-28,165.83
2001-03-01,165.99
2001-03-02,166.34
2001-03-05,166.65
2001-03-06,167.19
2001-03-07,167.57
2001-03-08,167.78
2001-03-09,167.47
2001-03-12,167.4
2001-03-13,167.37
2001-03-14,167.34
2001-03-15,167.16
2001-03-16,167.35
2001-03-19,167.3
2001-03-20,167.09
2001-03-21,166.89
2001-03-22,166.5
2001-03-23,166.56
2001-03-26,166.11
2001-03-27,165.71
2001-03-28,165.51
2001-03-29,164.26
2001-03-30,164.16
2001-03-31,164.19
2001-04-02,164.92
2001-04-03,164.44
2001-04-04,164.14
2001-04-05,163.93
2001-04-06,164.49
2001-04-09,164.19
2001-04-10,163.93
2001-04-11,162.74
2001-04-12,162.36
2001-04-16,162.63
2001-04-17,162.56
2001-04-18,162.59
2001-04-19,162.75
2001-04-20,162.85
2001-04-23,162.99
2001-04-24,162.95
2001-04-25,162.95
2001-04-26,163.05
2001-04-27,163.28
2001-04-30,163.19
2001-05-01,163.31
2001-05-02,163.71
2001-05-03,164.08
2001-05-04,164.22
2001-05-07,164.29
2001-05-08,164.77
2001-05-09,164.83
2001-05-10,165.56
2001-05-11,165.2
2001-05-14,165.18
2001-05-15,165.05
2001-05-16,164.93
2001-05-17,165.32
2001-05-18,165.87
2001-05-21,165.52
2001-05-22,167.67
2001-05-23,168.27
2001-05-24,168.09
2001-05-25,168.4
2001-05-28,168.55
2001-05-29,168.81
2001-05-30,168.76
2001-05-31,168.9
2001-06-01,169.01
2001-06-04,169.41
2001-06-05,169.36
2001-06-06,169.45
2001-06-07,169.65
2001-06-08,169.61
2001-06-11,169.49
2001-06-12,169.59
2001-06-13,169.62
2001-06-14,169.53
2001-06-15,169.85
2001-06-18,169.67
2001-06-19,169.17
2001-06-20,169.12
2001-06-21,168.67
2001-06-22,169.07
2001-06-25,169.36
2001-06-26,169.14
2001-06-27,169.04
2001-06-28,168.91
2001-06-29,168.32
2001-06-30,168.36
2001-07-02,168.8
2001-07-03,168.66
2001-07-04,168.63
2001-07-05,168.86
2001-07-06,168.74
2001-07-09,168.55
2001-07-10,168.89
2001-07-11,167.45
2001-07-12,166.72
2001-07-13,166.44
2001-07-16,166.34
2001-07-17,164.83
2001-07-18,164.01
2001-07-19,164.44
2001-07-20,164.74
2001-07-23,165.35
2001-07-24,165.45
2001-07-25,165.39
2001-07-26,165.61
2001-07-27,165.9
2001-07-30,165.75
2001-07-31,166.04
2001-08-01,166.09
2001-08-02,166.25
2001-08-03,166.49
2001-08-06,166.77
2001-08-07,167.32
2001-08-08,167.76
2001-08-09,168.73
2001-08-10,168.69
2001-08-13,168.72
2001-08-14,168.3
2001-08-15,167.52
2001-08-16,167.22
2001-08-17,167.47
2001-08-20,167.11
2001-08-21,166.58
2001-08-22,166.73
2001-08-23,166.8
2001-08-24,166.77
2001-08-27,166.92
2001-08-28,167.55
2001-08-29,168.01
2001-08-30,168.21
2001-08-31,168.46
2001-09-03,168.55
2001-09-04,168.11
2001-09-05,168.07
2001-09-06,168.3
2001-09-07,168.46
2001-09-10,167.76
2001-09-14,167.92
2001-09-17,167.54
2001-09-18,167.07
2001-09-19,167.45
2001-09-20,166.78
2001-09-21,166.35
2001-09-24,165.87
2001-09-25,166.31
2001-09-26,166.35
2001-09-27,166.34
2001-09-28,165.07
2001-09-30,165.14
2001-10-01,165.56
2001-10-02,165.62
2001-10-03,166.2
2001-10-04,166.47
2001-10-05,166.13
2001-10-08,166.38
2001-10-09,166.11
2001-10-10,166.29
2001-10-11,166.91
2001-10-12,167.11
2001-10-15,167.27
2001-10-16,167.99
2001-10-17,168.79
2001-10-18,168.58
2001-10-19,169.03
2001-10-22,169.26
2001-10-23,169.49
2001-10-24,169.75
2001-10-25,170.06
2001-10-26,170.11
2001-10-29,170.81
2001-10-30,171.05
2001-10-31,171.98
2001-11-01,173.12
2001-11-02,172.38
2001-11-05,172.55
2001-11-06,173.16
2001-11-07,172.54
2001-11-08,172.64
2001-11-09,172.83
2001-11-12,172.94
2001-11-13,172.98
2001-11-14,173.04
2001-11-15,173.65
2001-11-16,173.16
2001-11-19,173.77
2001-11-20,174.06
2001-11-21,173.28
2001-11-22,173.42
2001-11-23,173.54
2001-11-26,173.76
2001-11-27,173.66
2001-11-28,174.97
2001-11-29,175.23
2001-11-30,176.25
2001-12-03,176.55
2001-12-04,177.03
2001-12-05,176.42
2001-12-06,176.28
2001-12-07,175.81
2001-12-10,175.94
2001-12-11,176.31
2001-12-12,176.99
2001-12-13,177.18
2001-12-14,176.69
2001-12-17,175.98
2001-12-18,176.56
2001-12-19,177.08
2001-12-20,176.88
2001-12-21,177.6
2001-12-24,177.52
2001-12-26,177.26
2001-12-27,176.84
2001-12-28,176.89
2001-12-31,177.06
2002-01-02,177.36
2002-01-03,177.75
2002-01-04,178.2
2002-01-07,178.64
2002-01-08,179.18
2002-01-09,179.31
2002-01-10,179.7
2002-01-11,179.79
2002-01-14,180.28
2002-01-15,180.41
2002-01-16,180.48
2002-01-17,180.28
2002-01-18,180.46
2002-01-21,180.62
2002-01-22,180.64
2002-01-23,180.83
2002-01-24,180.48
2002-01-25,180.51
2002-01-28,180.58
2002-01-29,180.73
2002-01-30,180.8
2002-01-31,180.82
2002-02-01,180.75
2002-02-04,180.96
2002-02-05,180.97
2002-02-06,181.08
2002-02-07,180.88
2002-02-08,180.81
2002-02-11,181.02
2002-02-12,181.08
2002-02-13,180.86
2002-02-14,180.98
2002-02-15,181.3
2002-02-18,181.57
2002-02-19,181.56
2002-02-20,181.54
2002-02-21,181.37
2002-02-22,181.5
2002-02-25,181.38
2002-02-26,181.16
2002-02-27,180.98
2002-02-28,181.35
2002-03-01,181.44
2002-03-04,181.4
2002-03-05,181.18
2002-03-06,181.25
2002-03-07,181.03
2002-03-08,181.08
2002-03-11,181.23
2002-03-12,181.13
2002-03-13,180.91
2002-03-14,180.54
2002-03-15,180.56
2002-03-18,180.84
2002-03-19,180.98
2002-03-20,180.71
2002-03-21,180.63
2002-03-22,180.65
2002-03-25,180.96
2002-03-26,181.37
2002-03-27,181.44
2002-03-28,181.2
2002-03-31,181.29
2002-04-01,181.08
2002-04-02,181.44
2002-04-03,181.9
2002-04-04,182.07
2002-04-05,182.19
2002-04-08,182.22
2002-04-09,182.27
2002-04-10,182.59
2002-04-11,182.43
2002-04-12,182.66
2002-04-15,182.69
2002-04-16,182.55
2002-04-17,182.44
2002-04-18,182.35
2002-04-19,182.5
2002-04-22,182.8
2002-04-23,182.94
2002-04-24,183.06
2002-04-25,183.35
2002-04-26,183.43
2002-04-29,183.43
2002-04-30,183.21
2002-05-01,183.49
2002-05-02,183.0
2002-05-03,182.92
2002-05-06,182.89
2002-05-07,182.98
2002-05-08,182.84
2002-05-09,182.56
2002-05-10,182.77
2002-05-13,182.86
2002-05-14,182.23
2002-05-15,182.6
2002-05-16,182.49
2002-05-17,182.58
2002-05-20,182.77
2002-05-21,182.71
2002-05-22,183.04
2002-05-23,183.26
2002-05-24,183.15
2002-05-27,183.13
2002-05-28,183.11
2002-05-29,183.28
2002-05-30,183.52
2002-05-31,183.35
2002-06-03,183.44
2002-06-04,183.81
2002-06-05,183.51
2002-06-06,183.38
2002-06-07,183.64
2002-06-10,183.38
2002-06-11,182.87
2002-06-12,183.18
2002-06-13,183.53
2002-06-14,183.49
2002-06-17,182.97
2002-06-18,183.06
2002-06-19,182.73
2002-06-20,182.38
2002-06-21,180.74
2002-06-24,180.3
2002-06-25,180.63
2002-06-26,179.49
2002-06-27,180.22
2002-06-28,180.2
2002-06-30,180.29
2002-07-01,184.51
2002-07-02,185.13
2002-07-03,185.47
2002-07-04,185.63
2002-07-05,184.88
2002-07-08,184.75
2002-07-09,184.63
2002-07-10,184.99
2002-07-11,185.37
2002-07-12,185.47
2002-07-15,185.38
2002-07-16,185.2
2002-07-17,185.49
2002-07-18,186.09
2002-07-19,186.31
2002-07-22,186.49
2002-07-23,186.44
2002-07-24,186.19
2002-07-25,186.48
2002-07-26,186.84
2002-07-29,186.84
2002-07-30,186.39
2002-07-31,182.7
2002-08-01,183.12
2002-08-02,183.55
2002-08-05,183.96
2002-08-06,183.56
2002-08-07,183.93
2002-08-08,184.22
2002-08-09,184.5
2002-08-12,184.65
2002-08-13,184.98
2002-08-14,185.41
2002-08-15,184.8
2002-08-16,184.66
2002-08-19,184.75
2002-08-20,185.09
2002-08-21,185.25
2002-08-22,185.37
2002-08-23,185.75
2002-08-26,186.1
2002-08-27,186.15
2002-08-28,186.62
2002-08-29,186.91
2002-08-30,186.92
2002-08-31,186.95
2002-09-02,187.31
2002-09-03,187.91
2002-09-04,187.95
2002-09-05,188.07
2002-09-06,188.46
2002-09-09,188.06
2002-09-10,188.15
2002-09-11,188.06
2002-09-12,188.87
2002-09-13,189.13
2002-09-16,189.26
2002-09-17,189.24
2002-09-18,189.32
2002-09-19,189.55
2002-09-20,189.59
2002-09-23,190.17
2002-09-24,190.42
2002-09-25,190.17
2002-09-26,189.64
2002-09-27,190.1
2002-09-30,190.56
2002-10-01,190.58
2002-10-02,190.47
2002-10-03,190.61
2002-10-04,190.57
2002-10-07,190.86
2002-10-08,190.68
2002-10-09,190.85
2002-10-10,190.64
2002-10-11,190.53
2002-10-14,190.7
2002-10-15,190.51
2002-10-16,190.38
2002-10-17,190.47
2002-10-18,190.2
2002-10-21,190.55
2002-10-22,190.67
2002-10-23,190.94
2002-10-24,190.61
2002-10-25,191.04
2002-10-28,191.43
2002-10-29,191.98
2002-10-30,192.02
2002-10-31,192.6
2002-11-01,192.49
2002-11-04,192.59
2002-11-05,192.74
2002-11-06,192.66
2002-11-07,193.23
2002-11-08,193.61
2002-11-11,193.92
2002-11-12,194.23
2002-11-13,194.05
2002-11-14,193.88
2002-11-15,194.12
2002-11-18,194.74
2002-11-19,195.69
2002-11-20,195.96
2002-11-21,195.39
2002-11-22,195.67
2002-11-25,195.79
2002-11-26,196.41
2002-11-27,196.27
2002-11-28,196.3
2002-11-29,196.58
2002-11-30,196.62
2002-12-02,196.54
2002-12-03,197.12
2002-12-04,197.44
2002-12-05,197.72
2002-12-06,198.0
2002-12-09,198.18
2002-12-10,198.28
2002-12-11,198.5
2002-12-12,199.24
2002-12-13,199.29
2002-12-16,199.38
2002-12-17,199.57
2002-12-18,199.38
2002-12-19,199.59
2002-12-20,199.66
2002-12-23,199.8
2002-12-24,199.98
2002-12-26,200.05
2002-12-27,200.32
2002-12-30,200.48
2002-12-31,200.64
2003-01-02,200.19
2003-01-03,200.44
2003-01-06,200.78
2003-01-07,201.63
2003-01-08,202.26
2003-01-09,202.21
2003-01-10,202.27
2003-01-13,202.62
2003-01-14,202.93
2003-01-15,203.37
2003-01-16,203.38
2003-01-17,203.61
2003-01-20,203.79
2003-01-21,203.79
2003-01-22,204.14
2003-01-23,204.41
2003-01-24,204.58
2003-01-27,204.67
2003-01-28,204.61
2003-01-29,204.72
2003-01-30,205.01
2003-01-31,205.3
2003-02-03,205.56
2003-02-04,205.94
2003-02-05,205.86
2003-02-06,205.98
2003-02-07,206.19
2003-02-10,206.91
2003-02-11,207.29
2003-02-12,208.36
2003-02-13,208.26
2003-02-14,208.06
2003-02-17,208.3
2003-02-18,208.27
2003-02-19,208.98
2003-02-20,209.39
2003-02-21,209.29
2003-02-24,209.65
2003-02-25,209.48
2003-02-26,209.54
2003-02-27,209.39
2003-02-28,209.65
2003-03-03,209.87
2003-03-04,210.01
2003-03-05,210.2
2003-03-06,210.44
2003-03-07,210.49
2003-03-10,210.66
2003-03-11,210.57
2003-03-12,210.47
2003-03-13,209.79
2003-03-14,209.68
2003-03-17,209.3
2003-03-18,209.37
2003-03-19,208.43
2003-03-20,208.49
2003-03-21,208.29
2003-03-24,208.71
2003-03-25,207.8
2003-03-26,208.03
2003-03-27,208.32
2003-03-28,209.06
2003-03-31,209.44
2003-04-01,210.09
2003-04-02,209.83
2003-04-03,209.88
2003-04-04,209.92
2003-04-07,210.37
2003-04-08,210.69
2003-04-09,211.1
2003-04-10,211.5
2003-04-11,211.54
2003-04-14,211.55
2003-04-15,212.33
2003-04-16,212.8
2003-04-17,212.9
2003-04-21,212.89
2003-04-22,213.52
2003-04-23,213.69
2003-04-24,213.99
2003-04-25,214.11
2003-04-28,214.33
2003-04-29,214.51
2003-04-30,215.23
2003-05-01,215.44
2003-05-02,215.55
2003-05-05,215.66
2003-05-06,216.25
2003-05-07,216.84
2003-05-08,217.72
2003-05-09,217.65
2003-05-12,218.08
2003-05-13,218.49
2003-05-14,218.93
2003-05-15,219.19
2003-05-16,219.13
2003-05-19,219.32
2003-05-20,219.24
2003-05-21,219.45
2003-05-22,219.79
2003-05-23,220.45
2003-05-26,220.54
2003-05-27,220.61
2003-05-28,220.54
2003-05-29,221.37
2003-05-30,221.87
2003-05-31,221.9
2003-06-02,221.83
2003-06-03,222.57
2003-06-04,223.35
2003-06-05,223.92
2003-06-06,223.93
2003-06-09,224.42
2003-06-10,224.84
2003-06-11,225.02
2003-06-12,225.08
2003-06-13,225.25
2003-06-16,225.82
2003-06-17,225.95
2003-06-18,225.39
2003-06-19,224.47
2003-06-20,224.22
2003-06-23,223.71
2003-06-24,224.05
2003-06-25,223.92
2003-06-26,222.9
2003-06-27,222.61
2003-06-30,222.11
2003-07-01,222.51
2003-07-02,222.3
2003-07-03,221.7
2003-07-04,221.68
2003-07-07,221.34
2003-07-08,220.94
2003-07-09,220.89
2003-07-10,221.14
2003-07-11,220.78
2003-07-14,220.79
2003-07-15,219.97
2003-07-16,218.82
2003-07-17,219.26
2003-07-18,219.93
2003-07-21,219.81
2003-07-22,219.57
2003-07-23,220.09
2003-07-24,219.98
2003-07-25,220.14
2003-07-28,219.71
2003-07-29,219.25
2003-07-30,218.95
2003-07-31,218.82
2003-08-01,217.92
2003-08-04,217.52
2003-08-05,217.4
2003-08-06,216.68
2003-08-07,216.88
2003-08-08,217.91
2003-08-11,217.67
2003-08-12,218.01
2003-08-13,217.85
2003-08-14,217.45
2003-08-15,217.74
2003-08-18,218.25
2003-08-19,218.77
2003-08-20,219.29
2003-08-21,219.23
2003-08-22,219.17
2003-08-25,219.27
2003-08-26,219.75
2003-08-27,219.4
2003-08-28,220.04
2003-08-29,220.23
2003-08-31,220.27
2003-09-01,220.29
2003-09-02,219.92
2003-09-03,220.06
2003-09-04,220.34
2003-09-05,221.15
2003-09-08,221.85
2003-09-09,221.64
2003-09-10,221.95
2003-09-11,222.22
2003-09-12,222.71
2003-09-15,222.83
2003-09-16,223.09
2003-09-17,223.38
2003-09-18,223.62
2003-09-19,223.78
2003-09-22,222.96
2003-09-23,222.89
2003-09-24,223.23
2003-09-25,223.54
2003-09-26,223.81
2003-09-29,223.86
2003-09-30,224.05
2003-10-01,224.36
2003-10-02,224.0
2003-10-03,223.76
2003-10-06,223.9
2003-10-07,224.06
2003-10-08,226.11
2003-10-09,226.7
2003-10-10,227.23
2003-10-13,227.26
2003-10-14,227.06
2003-10-15,226.93
2003-10-16,227.29
2003-10-17,227.06
2003-10-20,226.51
2003-10-21,226.47
2003-10-22,226.21
2003-10-23,225.86
2003-10-24,225.94
2003-10-27,225.59
2003-10-28,225.27
2003-10-29,225.13
2003-10-30,224.31
2003-10-31,225.13
2003-11-03,225.13
2003-11-04,225.97
2003-11-05,225.85
2003-11-06,225.45
